date, pm25, pm10, o3, no2, so2, co
2024/5/13, 102, 56, 20, 3, 1, 4
2024/5/14, 91, 48, 12, 4, 1, 2
2024/5/15, 76, 71, 18, 4, 2, 3
2024/5/16, 163, 51, 16, 4, 2, 3
2024/5/17, 78, 50, 17, 3, 2, 5
2024/5/18, 79, 51, 12, 2, 5, 4
2024/5/19, 84, 51, 21, 2, 4, 6
2024/5/20, 80, 51, 18, 2, 1, 3
2024/5/21, 77, 51, 19, 3, 4, 3
2024/5/22, 82, 55, 15, 4, 5, 1
2024/5/23, 97, 55, 17, 3, 6, 
2024/5/24, 97, 54, 56, 3, 5, 1
2024/5/25, 90, 52, 23, 2, 4, 1
2024/5/26, 100, 51, 18, 2, 6, 1
2024/5/27, 96, 52, 16, 3, 6, 1
2024/5/28, 90, 54, 13, 4, 5, 1
2024/5/29, 104, 52, 14, 4, 6, 2
2024/5/30, 91, 56, 22, 3, 3, 2
2024/5/31, 107, 57, 17, 2, 2, 1
2024/6/1, 134, 50, 13, 2, 4, 4
2024/6/2, 78, 54, 14, 3, 5, 5
2024/6/3, 92, 58, 18, 3, 3, 4
2024/6/4, 93, 58, 18, 3, 3, 6
2024/6/5, 108, 53, 15, 3, 3, 5
2024/6/6, 100, 53, 19, 3, 7, 3
2024/6/7, 101, 53, 10, 3, 7, 2
2024/6/8, 101, 51, , 3, 7, 3
